"startyear","?column?"
1896,6.4
1897,4.5
1898,NULL
1899,3.8
1900,6.15
1901,4.5
1902,3.5
1903,4.6
1904,5.4
1905,4.237499999999999
1906,3.7777777777777777
1907,4.5
1908,5.242857142857143
1909,5.002702702702702
1910,4.965957446808511
1911,4.952173913043478
1912,5.556521739130434
1913,5.624731182795698
1914,5.98502994011976
1915,6.050970873786408
1916,6.082421875000001
1917,5.964730290456434
1918,6.011864406779659
1919,5.970895522388057
1920,5.5127840909090935
1921,6.008389261744966
1922,5.965055762081784
1923,6.045323741007196
1924,6.223426573426578
1925,6.167512690355329
1926,6.204827586206896
1927,6.256473214285713
1928,6.398678414096914
1929,6.344615384615384
1930,5.978716216216211
1931,5.8823365785813575
1932,6.116645161290323
1933,6.1680683311432345
1934,6.16989374262102
1935,6.085771144278601
1936,6.13506876227898
1937,6.171247563352831
1938,6.177457795431981
1939,6.229795918367354
1940,6.242857142857139
1941,6.20808823529412
1942,6.163769633507857
1943,6.160063559322033
1944,6.12630922693267
1945,6.046849315068496
1946,6.304768041237114
1947,6.318870192307688
1948,6.336292134831459
1949,6.332628398791544
1950,6.297625830959168
1951,6.187716262975781
1952,6.226286764705875
1953,6.168354430379745
1954,6.184254606365159
1955,6.255802469135802
1956,6.187837837837843
1957,6.199289267945984
1958,6.21223128243143
1959,6.19429793300071
1960,6.201358112937815
1961,6.183768913342506
1962,6.18875420875421
1963,6.191473396998632
1964,6.159949622166247
1965,6.1452865064694935
1966,6.172249093107621
1967,6.125863077823285
1968,6.124546866908339
1969,6.018788187372705
1970,5.964248210023871
1971,5.869573198715015
1972,5.923333333333329
1973,5.92337721289151
1974,5.962047909816818
1975,5.934110371075165
1976,5.986985018726588
1977,6.03441162681669
1978,6.065504061156242
1979,6.064692885550152
1980,6.041740344346213
1981,6.083593401694155
1982,5.994593406593408
1983,6.002517540239371
1984,6.021312160468029
1985,6.061982793936917
1986,5.977254428341378
1987,5.9515402843601946
1988,5.939367928209133
1989,5.960891279293131
1990,5.938322632423752
1991,5.847304687500008
1992,5.9939849624060155
1993,5.965239294710326
1994,5.966930116472546
1995,5.895289855072466
1996,6.053133410226835
1997,6.05612718828153
1998,6.009287709497207
1999,6.007357750163512
2000,6.012624688279302
2001,6.077074869413817
2002,6.10850236176716
2003,6.123262677756908
2004,6.200484966052375
2005,6.210609037328092
2006,6.159924648026971
2007,6.204171385428468
2008,6.186003652664782
2009,6.212687886825825
2010,6.20464652223489
2011,6.23601260835303
2012,6.2545922208281155
2013,6.240344329400428
2014,6.263128239801664
2015,6.244604157452458
2016,6.246684406599259
2017,6.244921271997531
2018,6.149300041788546
2019,6.168957703927492
2020,6.226371571072321
2021,6.3611536197763385
2022,NULL
2023,NULL
2024,NULL
2025,NULL
2026,NULL
2027,NULL
2028,NULL
NULL,5.836666666666667
